date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:57	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2023%20May%202021%2006:00:55%20GMT	https://tradeonline.herokuapp.com/robots.txt		(from )
12:01:00	34570/34570	---M--	200	added ('OK')	text/html	etag:W/%22870a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/index.html	(from )
12:01:00	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/My%20Binary/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://tradeonline.herokuapp.com/sniper/)
12:01:01	41376/41376	---M--	200	added ('OK')	image/jpeg	etag:W/%22a1a0-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood001.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood001.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:02	10752/10752	---M--	200	added ('OK')	image/png	etag:W/%222a00-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/favicon.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/favicon.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:02	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/My%20Binary/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://tradeonline.herokuapp.com/sniper/)
12:01:02	44033/44033	---M--	200	added ('OK')	text/css	etag:W/%22ac01-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/css/ezbinbot.css	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/css/ezbinbot.css	(from https://tradeonline.herokuapp.com/sniper/)
12:01:03	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/My%20Web%20Sites/My%20Binary/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://tradeonline.herokuapp.com/sniper/)
12:01:03	6466/6466	---M--	200	added ('OK')	image/png	etag:W/%221942-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/binarycom.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/binarycom.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:05	17064/17064	---M--	200	added ('OK')	image/png	etag:W/%2242a8-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/step1.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/step1.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:05	1850/1850	---M--	200	added ('OK')	image/png	etag:W/%2273a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/checked.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/checked.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:06	18168/18168	---M--	200	added ('OK')	image/png	etag:W/%2246f8-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/step2.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/step2.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:07	18558/18558	---M--	200	added ('OK')	image/png	etag:W/%22487e-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/step3.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/step3.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:08	775/775	---M--	200	added ('OK')	image/png	etag:W/%22307-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/tooltips.png	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/tooltips.png	(from https://tradeonline.herokuapp.com/sniper/)
12:01:08	45533/45533	---M--	200	added ('OK')	image/gif	etag:W/%22b1dd-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/pageLoader.gif	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/pageLoader.gif	(from https://tradeonline.herokuapp.com/sniper/)
12:01:08	1927/1927	---M--	200	added ('OK')	image/jpeg	etag:W/%22787-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood001_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood001_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:09	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood001.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood001.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:09	2662/2662	---M--	200	added ('OK')	image/jpeg	etag:W/%22a66-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood002_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood002_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:10	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood002.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood002.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:11	5692/5692	---M--	200	added ('OK')	image/jpeg	etag:W/%22163c-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood003_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood003_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:12	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood003.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood003.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:12	3223/3223	---M--	200	added ('OK')	image/jpeg	etag:W/%22c97-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood004_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood004_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:13	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood004.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood004.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:13	3441/3441	---M--	200	added ('OK')	image/jpeg	etag:W/%22d71-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood005_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood005_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:14	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood005.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood005.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:14	2234/2234	---M--	200	added ('OK')	image/jpeg	etag:W/%228ba-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/image/mood/mood006_thumb.jpg	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/image/mood/mood006_thumb.jpg	(from https://tradeonline.herokuapp.com/sniper/)
12:01:15	1146/1146	---M--	200	added ('OK')	text/html	etag:W/%2247a-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/mood006.html	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/mood006.html	(from https://tradeonline.herokuapp.com/sniper/)
12:01:17	4948/4948	---M--	200	added ('OK')	application/javascript	etag:W/%221354-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/js/jquery.modal.min.js	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/js/jquery.modal.min.js	(from https://tradeonline.herokuapp.com/sniper/)
12:01:17	3201/3201	---M--	200	added ('OK')	text/css	etag:W/%22c81-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/css/jquery.modal.min.css	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/css/jquery.modal.min.css	(from https://tradeonline.herokuapp.com/sniper/)
12:01:19	2240/2240	---M--	200	added ('OK')	application/javascript	etag:W/%228c0-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/js/jquery.tabletocsv.js	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/js/jquery.tabletocsv.js	(from https://tradeonline.herokuapp.com/sniper/)
12:01:20	86340/86340	---M--	200	added ('OK')	application/javascript	etag:W/%2215144-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/js/jquery.min.js	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/js/jquery.min.js	(from https://tradeonline.herokuapp.com/sniper/)
12:01:20	69916/69916	---M--	200	added ('OK')	application/javascript	etag:W/%221111c-17879168fa8%22	https://tradeonline.herokuapp.com/sniper/js/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/My%20Binary/tradeonline.herokuapp.com/sniper/js/jquery-3.3.1.slim.min.js	(from https://tradeonline.herokuapp.com/sniper/)
